"Name","Area","Density","Population","Lat","Lng","log","logM","sqrtM","sqrt"
"City of London",2.9,2635.67,7654,51.51564026,-0.09351,7.87689269810418,5.70100525815609,48.3706123517325,51.3387767676636
"Clackmannanshire",158.97,323.64,51450,56.14723969,-3.7534399,5.77963178693964,3.60374434699155,15.0218328047468,17.9899972206779
"Colchester",329.08,577.66,190098,51.87701035,0.85977602,6.3589854603,4.18309802035191,21.0663940364307,24.0345584523619
"Conwy",1125.84,103.8,116863,53.14738846,-3.74645996,4.64246597073179,2.4665785307837,7.22006408562886,10.18822850156
"Copeland",731.74,93.87,68689,54.46619034,-3.37664008,4.5419108463489,2.36602340640081,6.72048874124192,9.68865315717309
"Corby",80.28,866.21,69540,52.50696945,-0.7069,6.76412737339179,4.5882399334437,26.4632813521584,29.4314457680896
"Cornwall",3546,158.31,561349,50.45022964,-4.64248991,5.06455513608569,2.8886676961376,9.61396576937529,12.5821301853065
"Cotswold",1164.52,75.15,87509,51.77254868,-1.97059,4.31948611619898,2.1435986762509,5.70074555014877,8.66890996607993
"County Durham",2225.97,235.25,523662,54.68513107,-1.8405,5.46064877846549,3.2847613385174,12.3696972342468,15.337861650178
"Coventry",98.64,3651.18,360149,52.41423035,-1.51908004,8.20280568200157,6.02691824205348,57.4568304123682,60.4249948282993
"Craven",1177.39,48.08,56604,54.05376053,-2.16167998,3.87286629022695,1.69697885027886,3.96580991341272,6.93397432934389
"Crawley",44.97,2483.02,111664,51.12356949,-0.19532999,7.81723084024818,5.64134340030009,46.8617462803565,49.8299106962876
"Croydon",86.49,4449.26,384837,51.36597824,-0.07761,8.40049306919738,6.2246056292493,63.7346091395965,66.7027735555277
"Dacorum",212.48,721.57,153316,51.76845169,-0.55097997,6.5814293936048,4.40554195365671,23.8938906059766,26.8620550219078
"Darlington",197.48,538.53,106347,54.5353508,-1.56834996,6.28884320535109,4.112955765403,20.2380847424313,23.2062491583625
"Dartford",72.76,1477.6,107516,51.43373108,0.245276,7.29817442888503,5.12228698893694,35.4713985368393,38.4395629527704
"Daventry",662.62,124.71,82638,52.30994034,-1.01446998,4.82599104193266,2.65010360198457,8.19919874642726,11.1673631623584
"Denbighshire",836.75,113.73,95159,53.08832932,-3.34761,4.73382721819635,2.55793977824827,7.69626243224028,10.6644268481714
"Derby",78.03,3293.99,257034,52.91463852,-1.47188997,8.09985487491027,5.92396743496218,54.4251278750674,57.3932922909986
"Derbyshire Dales",792.42,90.67,71849,53.1232605,-1.70711005,4.50722654165796,2.33133910170988,6.55391518886105,9.52207960479222
"Derry City and Strabane",1251.24,120.28,150497,54.80904007,-7.42063999,4.78982235812033,2.61393491817224,7.99905948075299,10.9672238966842
"Doncaster",568.02,543.89,308940,53.52696991,-1.10894001,6.29874702052722,4.12285958057914,20.3532849386866,23.3214493546177
"Dover",315.07,367.55,115803,51.21173859,1.27692902,5.9068593638201,3.73097192387201,16.2034291537229,19.171593569654
"Dudley",97.96,3260.76,319419,52.49512863,-2.10171008,8.0897155760248,5.91382813607672,54.1349003004218,57.103064716353
"Dumfries and Galloway",6426.87,23.22,149200,55.09621811,-4.02862978,3.14501397626975,0.969126536321657,1.85054910533154,4.8187135212627
"Dundee City",59.83,2485.5,148710,56.4776001,-2.97094989,7.81822912553473,5.64234168558664,46.8866247221246,49.8547891380557
"Ealing",55.54,6170.45,342736,51.52442932,-0.31406999,8.72752704778934,6.55163960784126,75.5840475198253,78.5522119357565
"East Ayrshire",1262.13,96.61,121940,55.49673843,-4.29056978,4.57068225552942,2.39479481558133,6.86087419422802,9.82903861015918
"East Cambridgeshire",651.28,136.44,88858,52.35787964,0.28316301,4.91588495755045,2.73999751760236,8.7125889844279,11.6807534003591
"East Devon",814.36,174.7,142265,50.75764847,-3.22380996,5.16307021714001,2.98718277719192,10.2492483414885,13.2174127574197
"East Dorset",354.42,252.2,89384,50.8891716,-1.97739995,5.53022242353082,3.35433498358273,12.9126416089531,15.8808060248843
